https://cars.av.by/bmw/m5/101420922;89562,rub;35000,usd;2007г., автомат, 5.0л, бензин, 118000км
https://cars.av.by/bmw/m5/101416062;101844,rub;39800,usd;2011г., автомат, 4.4л, бензин, 138400км
https://cars.av.by/bmw/m5/101649572;127305,rub;49750,usd;2012г., автомат, 4.4л, бензин, 121000км
https://cars.av.by/bmw/m5/101407773;230045,rub;89900,usd;2019г., автомат, 4.4л, бензин, 68000км
https://cars.av.by/bmw/m5/101373332;254611,rub;99500,usd;2018г., автомат, 4.4л, бензин, 56000км
https://cars.av.by/bmw/m5/101380108;268685,rub;105000,usd;2018г., автомат, 4.4л, бензин, 55000км
https://cars.av.by/bmw/m5/101640357;278920,rub;109000,usd;2019г., автомат, 4.4л, бензин, 43000км
https://cars.av.by/bmw/m5/101304453;371041,rub;145000,usd;2019г., автомат, 4.4л, бензин, 30000км
https://cars.av.by/bmw/m5/101664283;409424,rub;160000,usd;2019г., автомат, 4.4л, бензин, 27900км
https://cars.av.by/bmw/m5/100358540;465720,rub;182000,usd;2021г., автомат, 4.4л, бензин, 12500км
